angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,opponents_0,opponents_1,opponents_2,opponents_3,opponents_4,opponents_5,opponents_6,opponents_7,opponents_8,opponents_9,opponents_10,opponents_11,opponents_12,opponents_13,opponents_14,opponents_15,opponents_16,opponents_17,opponents_18,opponents_19,opponents_20,opponents_21,opponents_22,opponents_23,opponents_24,opponents_25,opponents_26,opponents_27,opponents_28,opponents_29,opponents_30,opponents_31,opponents_32,opponents_33,opponents_34,opponents_35,racePos,rpm,speedX,speedY,speedZ,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,trackPos,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z,focus_0,focus_1,focus_2,focus_3,focus_4,accel,brake,clutch,gear,steer,focus_0,focus_1,focus_2,focus_3,focus_4,meta
0.0088855,11.01,1,268.242,293.24,93.8042,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,46.3664,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6161.16,149.43,0.725712,0.155894,16.2043,35.8257,62.7922,200,187.119,172.747,165.359,159.065,154.671,150.365,146.149,142.026,136.412,130.229,119.322,100.233,76.0233,54.4466,26.1355,0.24294,125.559,125.572,126.711,126.724,0.333473,-1,-1,-1,-1,-1,0.9,0,0,4,-0.00485158,-90,-45,0,45,90,0
0.00972335,12.01,1,309.924,334.923,93.7956,5,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,58.9751,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5198.98,149.913,0.2407,1.01326,16.7676,43.5501,200,174.69,148.461,136.531,130.515,125.454,121.955,118.555,115.253,112.048,107.725,103.016,94.8346,80.8492,63.4594,47.7841,25.3058,0.2297,126.44,125.507,127.575,126.683,0.334833,-1,-1,-1,-1,-1,0.9,0,0,4,0.03979897,-90,-45,0,45,90,0
0.00885309,13.01,1,351.81,376.808,93.7884,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,73.6371,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6152.56,149.13,0.0341713,3.40442,17.3126,45.1619,200,173.783,147.683,135.697,129.654,124.573,121.06,117.648,114.334,111.119,106.784,102.064,93.8699,79.8867,62.5549,46.998,24.8138,0.204342,125.589,125.047,126.726,126.204,0.332275,-1,-1,-1,-1,-1,0.9,0,0,4,0.019086916281710747,-90,-45,0,45,90,0
0.00826344,14.01,1,393.645,418.643,93.7781,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,90.14,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6389.42,149.581,0.0856018,4.41345,17.8065,46.6687,200,169.707,145.813,134.481,128.638,123.65,120.163,116.745,113.423,110.201,105.858,101.131,92.9328,78.9637,61.7012,46.2668,24.3656,0.181514,125.883,125.378,129.113,129.113,0.333688,-1,-1,-1,-1,-1,0.9,0,0,4,0.020917851891103775,-90,-45,0,45,90,0
0.00701663,15.01,1,435.463,460.462,93.7687,5,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,108.227,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5176.59,149.777,0.0215348,4.04771,18.2326,47.8619,200,162.594,140.539,130.199,124.897,120.387,117.241,114.16,111.146,108.199,104.189,99.7733,91.9814,78.3017,61.0501,45.6802,23.9809,0.161157,126.122,125.603,127.266,126.767,0.334864,-1,-1,-1,-1,-1,0.9,0,0,4,0.014740282721566536,-90,-45,0,45,90,0
0.00669464,16.012,1,477.301,502.299,93.7608,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,127.563,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6124.69,149.112,0.0670029,2.49608,18.6314,49.729,189.804,152.061,131.549,122.045,117.2,113.093,110.238,107.447,104.724,102.066,98.4575,94.495,87.5246,75.3327,59.6395,44.9962,23.6167,0.142841,125.558,125.046,126.697,126.205,0.334717,-1,-1,-1,-1,-1,0.9,0,0,4,0.019432575144330763,-90,-45,0,45,90,0
0.00672698,17.002,1,518.687,543.685,93.7512,5,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,147.705,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5199.8,150.054,-0.0422517,0.299588,19.1378,57.6436,178.148,141.724,122.262,113.339,108.815,104.994,102.344,99.7601,97.2433,94.7928,91.4741,87.8398,81.4728,70.4022,56.228,42.9769,23.1306,0.125641,126.496,125.683,127.639,126.858,0.334408,-1,-1,-1,-1,-1,0.9,0,0,5,0.037137284225307474,-90,-45,0,45,90,0
0.0057171,18.014,1,561.009,586.007,93.7445,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,169.261,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6261.17,149.283,-0.164503,0.307627,19.5708,59.4995,177.917,141.32,121.761,112.795,108.251,104.414,101.753,99.1593,96.6329,94.1738,90.8438,87.1985,80.816,69.7332,55.5778,42.3918,22.7446,0.105379,125.785,125.1,126.882,126.203,0.334256,-1,-1,-1,-1,-1,0.9,0,0,4,0.02601941,-90,-45,0,45,90,0
0.00516105,19.004,1,602.388,627.386,93.7364,5,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,191.034,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5138.7,149.668,-0.159976,0.271137,19.9587,61.3475,177.564,140.829,121.197,112.202,107.644,103.795,101.127,98.5267,95.9943,93.5299,90.194,86.5431,80.1543,69.0743,54.9555,41.8456,22.3977,0.087557,126.097,125.435,127.224,126.581,0.3345,-1,-1,-1,-1,-1,0.9,0,0,4,0.025876263579429175,-90,-45,0,45,90,0
0.00478679,20.016,1,644.639,669.637,93.727,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6421.6,150.272,-0.0805824,0.240377,20.3201,63.2004,177.175,140.316,120.623,111.602,107.032,103.175,100.501,97.8956,95.3587,92.8906,89.5502,85.8958,79.5045,68.4336,54.3577,41.3265,22.0739,0.0710917,126.555,125.85,129.763,129.763,0.334369,-1,-1,-1,-1,-1,0.9,0,0,4,0.032964338269206576,-90,-45,0,45,90,0
