speedX,speedY,speedZ,rpm,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,steer,accel,brake
58.084,0.124541,0.804957,6966.2,6.00751,6.51043,7.71408,10.4514,19.4837,61.3795,200,75.1666,39.2395,26.6871,20.3364,16.4688,13.8009,11.8907,9.41456,7.44335,6.48829,6.1003,6.13499,48.93,48.6096,51.58,51.58,0.0490927688866876,0,0.5
44.1938,-0.0658596,0.747244,2916.33,6.47157,7.03267,8.36643,11.426,21.6071,62.7331,200,75.3855,37.1722,24.7932,18.7061,15.0991,12.6564,10.9118,8.65376,6.85804,5.99066,5.64366,5.68768,26.8665,27.3017,20.9572,22.331,0.0585899382206813,0,0.5
29.6688,-0.165103,0.508379,2227.09,6.81989,7.41435,8.82819,12.0844,22.578,60.2553,200,81.1448,36.7439,23.8664,17.7729,14.2445,11.9188,10.2648,8.13138,6.44003,5.62466,5.29915,5.34158,16.9478,16.5141,16.0227,17.0243,0.0653479067544769,0.6,0
15.3522,0.00226108,0.278397,1407.47,7.02973,7.64064,9.0963,12.454,22.954,58.0413,200,88.2235,36.9386,23.4725,17.2981,13.7785,11.5042,9.89617,7.82813,6.1929,5.40545,5.0905,5.12975,8.20542,8.39396,11.4331,9.49965,0.0698962347281339,0.6,0
17.4307,0.190424,0.260455,1934.69,7.16781,7.78926,9.27196,12.6953,23.1435,56.4791,200,95.2111,37.2408,23.2573,17.0024,13.4798,11.231,9.65334,7.62845,6.03018,5.26108,4.95309,4.99013,13.3114,13.6679,14.6429,14.6429,0.0729455143096937,0.6,0
19.7441,0.224701,0.337896,2359.39,7.32208,7.95441,9.46589,12.9508,23.2979,54.7015,200,106.417,37.7738,23.069,16.6963,13.1609,10.9296,9.38471,7.40674,5.84886,5.09981,4.79926,4.83356,17.0833,17.1443,17.509,17.509,0.0840726300167856,0.6,0
22.4287,0.260122,0.381557,2644.32,7.49445,8.13775,9.67933,13.2069,23.402,52.7051,146.364,126.33,38.6699,22.932,16.3874,12.8249,10.601,9.08759,7.16051,5.64679,4.91959,4.62695,4.65781,21.0094,17.5695,19.5827,19.5827,0.0928685010117499,0.6,0
25.4139,0.343665,0.498015,3004.07,7.683,8.3342,9.90149,13.432,23.3642,50.1559,121.434,165.925,40.5153,23.0049,16.1485,12.514,10.2788,8.77785,6.89882,5.42841,4.72275,4.43713,4.4626,22.5494,22.9809,22.2616,22.2616,0.0999117057082249,0.6,0
28.9235,0.41385,0.478673,3423.68,7.88524,8.53918,10.1217,13.6035,23.1402,47.0721,100.263,178.738,44.189,23.4498,16.0427,12.2626,9.98567,8.4763,6.62718,5.19722,4.51171,4.23169,4.2496,22.5015,22.051,25.3285,25.3285,0.105507108995757,0.6,0
32.5814,0.500713,0.606224,3866.81,8.09816,8.74857,10.3154,13.7062,22.7246,43.6602,82.9766,187.927,51.5468,24.4894,16.1401,12.1052,9.74353,8.20518,6.35178,4.95618,4.28944,4.01366,4.022,27.9691,26.9869,28.6241,28.6241,0.10982248629703,0.6,0
36.6568,0.571523,0.675588,4363.39,8.31509,8.94669,10.4592,13.7115,22.0837,39.986,68.7408,196.524,69.1828,26.6882,16.6114,12.1254,9.60466,8.00205,6.10996,4.71554,4.06311,3.78949,3.78615,30.9768,29.8102,32.3122,32.3122,0.112825025407921,0.6,0
40.9874,0.61855,0.747821,4896.02,8.52839,9.10888,10.5453,13.6217,21.2798,36.3912,57.5674,140.242,131.558,30.9846,17.6363,12.392,9.60815,7.89467,5.92451,4.50453,3.84499,3.56589,3.54941,35.0565,34.0375,36.2464,36.2464,0.114566517785545,0.6,0
45.602,0.660765,0.849939,5460.78,8.70519,9.21552,10.5534,13.4152,20.3051,32.89,48.5466,94.0177,177.123,40.5235,19.7185,13.0951,9.85862,7.95345,5.83844,4.35824,3.67666,3.37854,3.33539,38.8422,37.8514,40.4317,40.4317,0.112583812449881,0.6,0
50.4058,0.6547,0.892901,6045.27,8.82227,9.24822,10.4669,13.0823,19.1829,29.5541,41.207,68.8964,191.056,68.9106,23.939,14.5526,10.5112,8.27589,5.90743,4.3125,3.58826,3.26266,3.19059,42.7133,41.7299,44.7533,44.7533,0.106844958714917,0.6,0
55.3415,0.636689,1.02842,6644.49,8.85772,9.18845,10.272,12.6203,17.9459,26.4368,35.1976,53.2487,111.041,162.627,33.2403,17.3673,11.8152,9.00493,6.20552,4.41161,3.6133,3.24701,3.14261,46.9325,45.7669,49.1946,49.1946,0.0973347221004419,0.6,0
60.3377,0.538703,1.04181,7244.04,8.78915,9.01981,9.95994,12.0344,16.632,23.5705,30.2501,42.6661,73.3162,180.776,59.1078,22.7698,14.1677,10.34,6.82284,4.70452,3.78686,3.36039,3.21732,51.1638,49.9579,53.6398,53.6398,0.0840917854703093,0.6,0
65.3592,0.460331,1.19957,7844.12,8.59495,8.72886,9.52651,11.3347,15.275,20.9617,26.146,35.0921,53.969,118.753,151.592,33.5685,18.191,12.5414,7.85796,5.23905,4.1411,3.62803,3.43644,55.4286,54.2818,58.0808,58.0808,0.0673205748292165,0.6,0
65.0886,0.405466,1.1693,4715.53,8.26506,8.30604,8.96115,10.5057,13.8326,18.4562,22.4855,29.0483,41.4667,73.408,171.152,60.7119,25.3941,16.1323,9.46788,6.073,4.70621,4.06792,3.81076,55.2059,54.1834,55.6512,54.6568,0.0469052973804516,0.6,0
67.7392,0.355409,1.14944,5024.66,7.79881,7.77875,8.32464,9.66102,12.5253,16.4152,19.7134,24.9073,34.1703,55.0699,180.264,126.405,35.4093,20.6798,11.4505,7.11886,5.43364,4.64979,4.32093,57.2388,56.5852,58.759,58.759,0.0246447581663161,0.6,0
